9,52,16.6666666666667,,,9
14,36,11.5384615384615,,,N/A
23,48,15.3846153846154,,,23
41,45,14.4230769230769,,,N/A
45,40,12.8205128205128,,,N/A
50,42,13.4615384615385,,,N/A
13,37,11.8589743589744,,,N/A
2,38,12.1794871794872,,,N/A
16,39,12.5,,,N/A
26,45,14.4230769230769,,,N/A
27,33,10.5769230769231,,,N/A
36,34,10.8974358974359,,,N/A
40,48,15.3846153846154,,,40
31,47,15.0641025641026,,,31
1,47,15.0641025641026,,,1
10,40,12.8205128205128,,,N/A
21,40,12.8205128205128,,,N/A
42,45,14.4230769230769,,,N/A
43,34,10.8974358974359,,,N/A
25,33,10.5769230769231,,,N/A
5,42,13.4615384615385,,,N/A
11,39,12.5,,,N/A
34,41,13.1410256410256,,,N/A
51,41,13.1410256410256,,,N/A
53,46,14.7435897435897,,,N/A
12,39,12.5,,,N/A
29,49,15.7051282051282,,,29
46,46,14.7435897435897,,,N/A
48,45,14.4230769230769,,,N/A
3,53,16.9871794871795,,,3
39,37,11.8589743589744,,,N/A
55,44,14.1025641025641,,,N/A
4,33,10.5769230769231,,,N/A
17,43,13.7820512820513,,,N/A
8,45,14.4230769230769,,,N/A
30,34,10.8974358974359,,,N/A
37,40,12.8205128205128,,,N/A
7,38,12.1794871794872,,,N/A
44,42,13.4615384615385,,,N/A
22,43,13.7820512820513,,,N/A
38,30,9.61538461538462,,,N/A
47,33,10.5769230769231,,,N/A
49,53,16.9871794871795,,,49
15,43,13.7820512820513,,,N/A
33,43,13.7820512820513,,,N/A
35,47,15.0641025641026,,,35
54,35,11.2179487179487,,,N/A
18,33,10.5769230769231,,,N/A
32,40,12.8205128205128,,,N/A
6,30,9.61538461538462,,,N/A
19,33,10.5769230769231,,,N/A
20,41,13.1410256410256,,,N/A
24,41,13.1410256410256,,,N/A
52,43,13.7820512820513,,,N/A
28,32,10.2564102564103,,,N/A
